ésãÊí¨ë∫ñº,òaâÃéRés,äCìÏés,ã¥ñ{és,óLìcés,å‰ñVés,ìcï”és,êVã{és,ãIÇÃêÏés,ä‚èoés,ãIî¸ñÏí¨,Ç©Ç¬ÇÁÇ¨í¨,ã„ìxéRí¨,çÇñÏí¨,ìíêÛí¨,çLêÏí¨,óLìcêÏí¨,î¸ïlí¨,ì˙çÇí¨,óRó«í¨,àÛìÏí¨,Ç›Ç»Ç◊í¨,ì˙çÇêÏí¨,îíïlí¨,è„ïxìcí¨,Ç∑Ç≥Ç›í¨,ìﬂíqèüâYí¨,ëæíní¨,å√ç¿êÏí¨,ñkéRë∫,ã¯ñ{í¨
Ç`_î_ã∆.ó—ã∆,0.4859082,2.5783558,1.7326822,3.5230617,3.2663631,3.3861088,0.5054684,5.2161712,0.9036798,3.7702529,6.7328404,5.7887896,0.9201404,4.0877813,6.8222667,7.591564,1.6612863,3.6451662,3.7364203,8.921095,9.9122975,7.185907,1.2563815,2.1943757,2.4079688,0.9298408,0.3037935,3.8627887,3.274884,1.1146641
Ça_ãôã∆,0.58665248,0.6777812,0.07811797,8.94191172,2.68843236,1.58207904,0.953668,0.13556174,0.07644539,0.17762258,0.17897056,0,0,4.69762968,3.67047681,0.22119522,4.6310661,7.75241478,13.42933881,3.03195487,6.16313735,0.53953038,4.12735179,0.68762862,16.08077488,7.29089618,23.34932032,1.10544438,0,18.40004641
Çb_çzã∆.çÃêŒã∆.çªóòçÃéÊã∆,0.3414073,0,0.449202,0,0,0.4486406,2.7596299,0.9354253,0.6330011,0,1.8524429,1.2351062,0,0,0,0.1907909,0,0,0,0,0,0,0.8060442,0.3649913,6.2514475,0,0,0,0,0
Çc_åöê›ã∆,1.0225344,0.9052707,0.7082294,1.2424945,1.1895213,1.1393799,1.3596689,0.8336061,1.01794,0.880662,0.7637508,0.6148754,0.6339689,1.1434661,1.222706,1.0379458,1.1685543,1.0425446,1.0296396,0.894797,0.8077685,1.3429691,1.0935077,1.3000292,1.507959,1.1936997,0.8889263,1.2266666,1.7939512,1.0920859
Çd_êªë¢ã∆,0.9406404,1.2056125,0.9990641,1.139336,0.8102313,0.6373189,0.377108,0.9323838,0.967343,1.2529769,0.9443451,0.8148807,0.451522,0.8685321,0.8451101,0.7517055,0.73755,0.8140062,1.1024614,0.8336105,0.8719803,0.6782354,0.5856694,0.7649721,0.6667684,0.3563772,0.4413543,0.2726772,0.2834425,0.2585447
Çe_ìdãC.ÉKÉX.îMãüãã.êÖìπã∆,1.5042258,1.4718842,1.5479893,0.8503301,2.9930307,1.1177716,2.0209009,0.8630944,1.1703736,1.2054032,0.9716408,1.0689297,0.4799368,0.7543343,1.4322686,0.9156716,1.8228172,2.0475378,1.1274526,0.8479727,0.4003761,1.5064145,0.9512667,0.9476515,0.8607376,0.6394123,1.2676471,0.6001517,0,0.7399618
Çf_èÓïÒí êMã∆,0.49844101,0.38098187,0.53849603,0.13810868,0.23977678,0.28755286,0.29276101,0.28530498,0.38753008,0.2600534,0.2128969,0.26205755,0.18200645,0.18162936,0.15743748,0.12397274,0.24366503,0.27800183,0.03800568,0.18495916,0.08676266,0.1269506,0.22090304,0.21296471,0.06217478,0.15395833,0.13353608,0.06743572,0,0.12471811
Çg_â^óAã∆.óXï÷ã∆,1.0397988,0.8784464,0.9480282,0.7736407,0.5962904,0.599164,0.7176849,1.0597792,1.4213183,0.811714,0.7478352,0.8947955,0.3347938,0.6648594,0.5618243,0.5640575,0.6430874,0.5713278,0.6501628,0.4871407,0.4495303,0.4397973,0.5642919,0.683765,0.5375301,0.7561451,0.5010943,0.3349226,0.4448525,0.6423596
Çh_âµîÑã∆.è¨îÑã∆,1.0592449,1.0261933,1.0147197,0.9168705,1.0503308,1.062573,1.2968107,0.8533439,1.1336186,0.7796994,0.745113,0.7704222,1.1588686,1.1267083,0.7640698,0.7763963,0.7751807,0.7497478,0.7850854,0.6889207,0.7539732,0.5358068,0.9117987,0.8311786,0.7079387,1.3382273,0.9970345,0.8937168,0.37618,1.1057951
Çi_ã‡óZã∆.ï€åØã∆,1.1695737,0.8874087,0.9485297,0.7293572,0.7727109,0.7159888,1.0262656,0.6577922,0.8835235,0.5638749,0.5488947,0.5200662,0.1902622,0.6906448,0.5184231,0.4730918,1.1088519,0.7102453,0.5810454,0.5240192,0.3968045,0.555719,0.4525348,0.6033635,0.2681044,0.76045,0.7538034,0.396532,0.2370076,0.5805773
Çj_ïsìÆéYã∆.ï®ïií¿ë›ã∆,0.87052595,0.53245477,0.67696168,0.34001106,0.45874431,0.63855362,0.71091453,0.40503615,0.73018613,0.20523435,0.32167626,0.29873426,0.05674652,0.24633595,0.27979212,0.2378318,0.41618688,0.26899527,0.19551719,0.11795549,0.17583232,0.3265436,0.83481734,0.50251807,0.43616343,0.33841125,0.22482514,0.3311487,0,0.43016522
Çk_äwèpå§ãÜ.êÍñÂ.ãZèpÉTÅ[ÉrÉXã∆,0.814075,0.6373684,0.6519032,0.4129359,0.5016412,0.6476159,0.5446671,0.6140988,0.6957176,0.5834255,0.3620315,0.2724516,0.2655795,0.3922433,0.4502689,0.449661,0.5286877,0.5791056,0.4325645,0.4269138,0.2869646,0.4754578,0.5490118,0.6186811,0.4899094,0.5167004,0.4910288,0.649444,0.3528849,0.4686132
Çl_èhîëã∆.à˘êHÉTÅ[ÉrÉXã∆,0.9964453,0.6429599,0.8772861,0.6400677,1.0193123,1.3536637,1.473152,0.5475724,0.9158968,0.5589222,0.6520845,0.6182822,1.6000106,0.964279,0.5373277,0.5285653,0.8381929,0.8377675,0.9302566,0.582566,0.7128753,0.860719,3.1929765,1.3140184,1.4361009,2.1761206,1.5606095,1.0461608,1.7716593,1.4322956
Çm_ê∂äàä÷òAÉTÅ[ÉrÉXã∆.å‚äyã∆,0.9759292,0.8704498,1.045192,0.7796438,1.1058984,1.0435641,1.1868832,0.8238314,1.0935217,1.0213368,0.9228594,0.6374449,0.8198587,0.7952516,0.8169827,0.7323574,0.9363034,0.8083654,0.7909385,0.9611629,0.5666999,0.7720061,1.5975699,1.0556792,1.1090769,1.1734262,1.0177737,0.7654958,0.9804379,1.2977581
Çn_ã≥àÁ.äwèKéxâáã∆,1.083885,1.0431355,1.3146541,0.7715143,0.9593172,0.9971523,1.1177806,0.9646153,1.0509901,1.0465711,1.1139592,1.0546367,1.0085499,0.8293743,1.0601392,0.9886596,1.4111521,1.307162,0.9357054,0.8279494,0.9432962,1.1709652,0.755745,1.2741397,0.7326677,0.9298007,1.6859886,1.191994,0.8905702,1.2072358
Ço_à„ó√.ïüéÉ,1.2363151,1.2123074,1.3525479,1.0771339,1.2462157,1.2215403,1.4592163,1.1559007,1.2579948,1.1877762,0.9695764,1.0813509,0.4789171,1.0992271,0.9766689,1.1232824,1.7993041,1.4584369,1.2637006,0.9049958,0.7402463,1.1961602,1.1633851,1.5155682,1.5071187,1.3282813,1.6227186,1.5324788,1.3980509,1.5277456
Çp_ï°çáÉTÅ[ÉrÉXéñã∆,0.8001896,1.6437552,1.7654533,1.5772368,2.2856062,2.7214431,1.8996963,2.0202198,1.1193246,2.0636592,2.2074976,1.70923,0.9145136,1.5374118,2.1906384,2.1826513,2.5796807,3.334665,2.8203941,3.1584898,2.531861,2.7477854,2.1317732,2.6265285,2.8837363,3.2133424,3.9948423,4.6916172,2.804185,3.4526631
Çq_ÉTÅ[ÉrÉXã∆.ëºÇ…ï™óﬁÇ≥ÇÍÇ»Ç¢Ç‡ÇÃ.,0.9813046,0.9003933,0.9602839,0.7376088,0.8017203,0.8763393,1.0490812,0.7287715,0.8099309,1.0827434,0.7997788,0.9940159,5.4079173,0.8468247,0.6668503,0.706565,0.6530033,0.6681495,0.8289208,0.4942897,0.5507875,0.7490606,1.1352355,0.9041862,0.9433458,1.2166303,0.8990703,1.0711283,0.5733265,1.0077395
Çr_åˆñ±.ëºÇ…ï™óﬁÇ≥ÇÍÇÈÇ‡ÇÃÇèúÇ≠.,1.273187,1.171985,1.372372,1.011385,1.249934,1.149615,1.566491,1.104496,1.130082,1.435548,1.256299,1.263238,1.677141,1.15483,1.192512,1.095282,2.205284,1.780833,1.145194,1.059796,0.647591,1.374534,1.043062,1.13597,1.89065,1.293841,2.325645,2.992052,6.016889,2.478058
Çs_ï™óﬁïsî\ÇÃéYã∆,0.90938175,0.12319511,0.27158799,0.60511197,0.10093817,0.27293464,0.50410267,0.42905311,0.5687171,0.01727356,0.269772,1.20106075,0.39760807,0.30563115,0.22309307,0.30384197,0.19140509,0.06112799,0.04712317,0.10721946,0.06403384,0.0262343,0.32375412,0.38065004,0.04405165,0.07090298,0.11353449,0.07166865,0.10709108,0.14359219
